"anio","mes","cuenta","importe","anavertical","target"
"2016","6","5","-409764.22","-0.1442","1"
"2016","6","6","-198343.68","-0.0698","1"
"2016","6","7","-685035.37","-0.2410","2"
"2016","6","8","-129.1","-0.0000","1"
"2016","6","9","-9121.33","-0.0032","1"
"2016","6","10","15590.01","0.0055","2"
"2016","6","11","136085.09","0.0479","1"
"2016","7","1","3060068.53","1.0000","1"
"2016","7","2","-1405651.42","-0.4594","2"
"2016","7","3","1654417.11","0.5406","2"
"2016","7","4","-109109.35","-0.0357","1"
"2016","7","5","-346178.47","-0.1131","1"
"2016","7","6","-201067.86","-0.0657","1"
"2016","7","7","-824407.52","-0.2694","2"
"2016","7","8","-341.95","-0.0001","1"
"2016","7","9","-12755.4","-0.0042","1"
"2016","7","10","16120.43","0.0053","2"
"2016","7","11","176676.99","0.0577","1"
"2016","8","1","3183957.02","1.0000","1"
"2016","8","2","-1358839.16","-0.4268","1"
"2016","8","3","1825117.86","0.5732","1"
"2016","8","4","-134796.95","-0.0423","1"
"2016","8","5","-363452.44","-0.1142","1"
"2016","8","6","-227697.39","-0.0715","1"
"2016","8","7","-671976.9","-0.2111","1"
"2016","8","8","-9110.92","-0.0029","1"
"2016","8","9","-15254.53","-0.0048","1"
"2016","8","10","20020.98","0.0063","2"
"2016","8","11","422849.71","0.1328","1"
"2016","9","1","3048175.39","1.0000","1"
"2016","9","2","-1414922.62","-0.4642","2"
"2016","9","3","1633252.77","0.5358","2"
"2016","9","4","-121868.5","-0.0400","1"
"2016","9","5","-407963.13","-0.1338","1"
"2016","9","6","-232167.21","-0.0762","1"
"2016","9","7","-700796.69","-0.2299","1"
"2016","9","8","-8637.33","-0.0028","1"
"2016","9","9","-14481.28","-0.0048","1"
"2016","9","10","22489.13","0.0074","2"
"2016","9","11","169827.76","0.0557","1"
"2016","10","1","3321996.44","1.0000","1"
"2016","10","2","-1490458.59","-0.4487","1"
"2016","10","3","1831537.85","0.5513","2"
"2016","10","4","-163141.36","-0.0491","1"
"2016","10","5","-402220.57","-0.1211","1"
"2016","10","6","-256517.85","-0.0772","1"
"2016","10","7","-696196.99","-0.2096","1"
"2016","10","8","0","0.0000","1"
"2016","10","9","-15371.31","-0.0046","1"
"2016","10","10","17992.74","0.0054","2"
"2016","10","11","316082.51","0.0951","1"
"2016","11","1","3701599.64","1.0000","1"
"2016","11","2","-1756639.02","-0.4746","3"
"2016","11","3","1944960.62","0.5254","3"
"2016","11","4","-165830.35","-0.0448","1"
"2016","11","5","-392030.13","-0.1059","1"
"2016","11","6","-256761.42","-0.0694","1"
"2016","11","7","-695048.09","-0.1878","1"
"2016","11","8","-387.29","-0.0001","1"
"2016","11","9","-17731.14","-0.0048","1"
"2016","11","10","24479.26","0.0066","2"
"2016","11","11","441651.46","0.1193","1"
"2016","12","1","3161340.75","1.0000","1"
"2016","12","2","-1489098.1","-0.4710","3"
"2016","12","3","1672242.65","0.5290","3"
"2016","12","4","-143608.99","-0.0454","1"
"2016","12","5","-515032.7","-0.1629","2"
"2016","12","6","-262125.65","-0.0829","2"
"2016","12","7","-734141.73","-0.2322","2"
"2016","12","8","-5048.08","-0.0016","1"
"2016","12","9","-13103.44","-0.0041","1"
"2016","12","10","71127.22","0.0225","1"
"2016","12","11","70309.28","0.0222","2"
"2017","1","1","2488143.45","1.0000","2"
"2017","1","2","-1165445.98","-0.4684","2"
"2017","1","3","1322697.47","0.5316","2"
"2017","1","4","-166258.99","-0.0668","2"
"2017","1","5","-287824.05","-0.1157","1"
"2017","1","6","-208909.81","-0.0840","2"
"2017","1","7","-540295.02","-0.2171","1"
"2017","1","8","-4804.12","-0.0019","1"
"2017","1","9","0","0.0000","1"
"2017","1","10","13653.6","0.0055","2"
"2017","1","11","128259.08","0.0515","1"
"2017","2","1","2238563.14","1.0000","2"
"2017","2","2","-1048332.93","-0.4683","2"
"2017","2","3","1190230.21","0.5317","2"
"2017","2","4","-147118.8","-0.0657","2"
"2017","2","5","-362549.14","-0.1620","2"
"2017","2","6","-252914.47","-0.1130","3"
"2017","2","7","-662306.56","-0.2959","3"
"2017","2","8","-870.08","-0.0004","1"
"2017","2","9","-36657.77","-0.0164","1"
"2017","2","10","23079.05","0.0103","1"
"2017","2","11","-249107.56","-0.1113","3"
"2017","3","1","2437687.94","1.0000","2"
"2017","3","2","-1081163.11","-0.4435","1"
"2017","3","3","1356524.83","0.5565","2"
"2017","3","4","-156058.99","-0.0640","2"
"2017","3","5","-296396.43","-0.1216","1"
"2017","3","6","-247547.34","-0.1016","3"
"2017","3","7","-682847.24","-0.2801","3"
"2017","3","8","-3256.75","-0.0013","1"
"2017","3","9","-4566.67","-0.0019","1"
"2017","3","10","16372.16","0.0067","2"
"2017","3","11","-17776.43","-0.0073","2"
"2017","4","1","2615702.58","1.0000","1"
"2017","4","2","-1084543.09","-0.4146","1"
"2017","4","3","1531159.49","0.5854","1"
"2017","4","4","-238028.78","-0.0910","3"
"2017","4","5","-366114.56","-0.1400","1"
"2017","4","6","-170605.41","-0.0652","1"
"2017","4","7","-683797.37","-0.2614","2"
"2017","4","8","-3418.87","-0.0013","1"
"2017","4","9","-21376.67","-0.0082","1"
"2017","4","10","22946.71","0.0088","2"
"2017","4","11","70764.539999999","0.0271","2"
"2017","5","1","2834205.1","1.0000","1"
"2017","5","2","-1387079.72","-0.4894","3"
"2017","5","3","1447125.38","0.5106","3"
"2017","5","4","-279662.51","-0.0987","3"
"2017","5","5","-380871.05","-0.1344","1"
"2017","5","6","-257654.85","-0.0909","2"
"2017","5","7","-651981.32","-0.2300","2"
"2017","5","8","-1062.38","-0.0004","1"
"2017","5","9","-5380.89","-0.0019","1"
"2017","5","10","25133.66","0.0089","2"
"2017","5","11","-104353.96","-0.0368","2"
"2017","6","1","2728597.84","1.0000","1"
"2017","6","2","-1262543.95","-0.4627","2"
"2017","6","3","1466053.89","0.5373","2"
"2017","6","4","-123027.7","-0.0451","1"
"2017","6","5","-402619.38","-0.1476","1"
"2017","6","6","-237253.64","-0.0870","2"
"2017","6","7","-712401.06","-0.2611","2"
"2017","6","8","-12412.75","-0.0045","1"
"2017","6","9","-25767.27","-0.0094","1"
"2017","6","10","18630.02","0.0068","2"
"2017","6","11","-28797.89","-0.0106","2"
"2017","7","1","2910976.39","1.0000","1"
"2017","7","2","-1299874.18","-0.4465","1"
"2017","7","3","1611102.21","0.5535","2"
"2017","7","4","-214098.03","-0.0735","3"
"2017","7","5","-435853.73","-0.1497","1"
"2017","7","6","-221603.44","-0.0761","1"
"2017","7","7","-684473.57","-0.2351","2"
"2017","7","8","-12.8","-0.0000","1"
"2017","7","9","-13831.95","-0.0048","1"
"2017","7","10","34066.69","0.0117","1"
"2017","7","11","75295.38","0.0259","2"
"2017","8","1","2979819.84","1.0000","1"
"2017","8","2","-1459762.52","-0.4899","3"
"2017","8","3","1520057.32","0.5101","3"
"2017","8","4","-170128.13","-0.0571","2"
"2017","8","5","-378324.68","-0.1270","1"
"2017","8","6","-176802.96","-0.0593","1"
"2017","8","7","-723755.96","-0.2429","2"
"2017","8","8","-797.03","-0.0003","1"
"2017","8","9","-22969.09","-0.0077","1"
"2017","8","10","53884.79","0.0181","1"
"2017","8","11","101164.26","0.0339","1"
"2017","9","1","2697899.21","1.0000","1"
"2017","9","2","-1263686.57","-0.4684","2"
"2017","9","3","1434212.64","0.5316","2"
"2017","9","4","-163808.77","-0.0607","2"
"2017","9","5","-393080.63","-0.1457","1"
"2017","9","6","-196920","-0.0730","1"
"2017","9","7","-753115.32","-0.2791","3"
"2017","9","8","-251.36","-0.0001","1"
"2017","9","9","-17453.18","-0.0065","1"
"2017","9","10","52776.72","0.0196","1"
"2017","9","11","-37639.9","-0.0140","2"
"2017","10","1","3071234.11","1.0000","1"
"2017","10","2","-1440318.27","-0.4690","2"
"2017","10","3","1630915.84","0.5310","2"
"2017","10","4","-209270.83","-0.0681","2"
"2017","10","5","-483883.14","-0.1576","2"
"2017","10","6","-223681.43","-0.0728","1"
"2017","10","7","-728523.69","-0.2372","2"
"2017","10","8","-383.77","-0.0001","1"
"2017","10","9","-48592.03","-0.0158","1"
"2017","10","10","38763.59","0.0126","1"
"2017","10","11","-24655.46","-0.0080","2"
"2017","11","1","3608968.98","1.0000","1"
"2017","11","2","-1560280.86","-0.4323","1"
"2017","11","3","2048688.12","0.5677","1"
"2017","11","4","-262449.61","-0.0727","3"
"2017","11","5","-443219.37","-0.1228","1"
"2017","11","6","-306650.06","-0.0850","2"
"2017","11","7","-834052.55","-0.2311","2"
"2017","11","8","0","0.0000","1"
"2017","11","9","-18663.64","-0.0052","1"
"2017","11","10","41676.89","0.0115","1"
"2017","11","11","225329.78","0.0624","1"
"2017","12","1","3502773.92","1.0000","1"
"2017","12","2","-1717601.55","-0.4904","3"
"2017","12","3","1785172.37","0.5096","3"
"2017","12","4","-329917.93","-0.0942","3"
"2017","12","5","-542722.99","-0.1549","2"
"2017","12","6","-283709.88","-0.0810","2"
"2017","12","7","-676026.48","-0.1930","1"
"2017","12","8","-71.1","-0.0000","1"
"2017","12","9","5858.49","0.0017","1"
"2017","12","10","92258.88","0.0263","1"
"2017","12","11","50841.36","0.0145","2"
